                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                  2e-05,                  2e-05,                  2e-05
                      2,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             4.7525e-05,             4.7525e-05,             4.7525e-05
                      3,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              7.208e-05,              7.208e-05,              7.208e-05
                      4,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             9.3665e-05,             9.3665e-05,             9.3665e-05
                      5,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00011228,             0.00011228,             0.00011228
                      6,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00012792,             0.00012792,             0.00012792
                      7,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001406,              0.0001406,              0.0001406
                      8,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001503,              0.0001503,              0.0001503
                      9,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00015704,             0.00015704,             0.00015704
                     10,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001608,              0.0001608,              0.0001608
                     11,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001616,              0.0001616,              0.0001616
                     12,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00015942,             0.00015942,             0.00015942
                     13,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00015428,             0.00015428,             0.00015428
                     14,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00014616,             0.00014616,             0.00014616
                     15,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00013508,             0.00013508,             0.00013508
                     16,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00012103,             0.00012103,             0.00012103
                     17,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000104,               0.000104,               0.000104
                     18,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             8.4005e-05,             8.4005e-05,             8.4005e-05
                     19,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              6.104e-05,              6.104e-05,              6.104e-05
                     20,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             3.5105e-05,             3.5105e-05,             3.5105e-05
